Raw,Raw_Translated,Clean,Clean_Translated,Tag
Kaway kaway sa mga tumiwalag,Bamboo bamboo,"Iwagayway ang iyong mga kamay, mga tumiwalag","Wave your hands, those who leave",0
bakit ba kasi ang hilig kong problemahin yung mga problema ng ibang tao samantalang hindi naman nila pinoproblema yung sakin concern ako sa kanila pero sila sakin,Why do I want to solve other people's problems when they do not have a problem with me but they are me but they are,"Bakit ba kasi ang hilig kong problemahin yung mga problema ng ibang tao, samantalang hindi naman nila pinoproblema yung sakin Concerned ako sa kanila pero hindi sila concerned sa akin","Why do I want to solve other people's problems, when they are not in trouble when I am concerned about them but they are not concerned about me",0
Ganyan ka ba talaga Feeling pretty ka dahil maraming nanliligaw sayo,Are you really feeling pretty because you have a lot of misleading,Ganyan ka ba talaga Feeling pretty ka dahil maraming suitors,Do you really feel pretty pretty because there are so many suitors,1
IMPORTANTENG MABASA NIYO 'TO! AT PAKI ANTABAYANAN NUNG IBANG SALITA KO. SORRY NOT SORRY IN ADVANCE.,It's important to read this! And please wait for my other words. Sorry not sorry in advance.,IMPORTANTENG MABASA NIYO 'TO! AT PAKI ANTABAYANAN NUNG IBANG SALITA KO. SORRY NOT SORRY IN ADVANCE.,It's important to read this! And please wait for my other words. Sorry not sorry in advance.,1
"Lahat nagpapaligsahan, lahat nagpapataasan ng grades kaya may sarisariling mundo.","Everyone is competing, everyone raises grades so there is a world.","Lahat nagpapaligsahan, lahat nagpapataasan ng grades kaya may sarisariling mundo.","Everyone is competing, everyone raises grades so there is a world.",0
"Last night, tinanggap ko na talo na talaga siya. Not until, I heard rumors na possible na nag karoon ng dayaan based sa computation ng isang Applied Math Student.","Last night, I accepted that he was really losing. Not until, I heard rumors that it is possible to have a fraud based on the computation of an applied math student.","Last night, tinanggap ko na talo na talaga siya. Not until, I heard rumors na possible na nag karoon ng dayaan based sa computation ng isang Applied Math Student.","Last night, I accepted that he was really losing. Not until, I heard rumors that it is possible to have a fraud based on the computation of an applied math student.",0
No one can take that away from them habang buhay na nilang maaalala ’yon at hindi na nila makakalimutan ’yon kasi minsan tumindig sila kahit mahirap kahit mukhang imposible,No one can take that away from them as long as they live 'and they will never forget it because sometimes they stand up even when it looks impossible,"No one can take that away from them habang buhay na nilang maaalala ’yon, at hindi na nila makakalimutan ’yon kasi minsan tumindig sila kahit mahirap kahit mukhang imposible","No one can take that away from them as long as they live, and they will never forget it because sometimes they stand up even when it looks impossible",0
"Sabi niya, she felt like not one of us, not one of lyra. She felt unimportant. Try niyo mag open kahit sa chat lang para lumuwag ng onti pakiramdam niyo try it guys it works","She said she felt like not one of us, not one of Lyra. She felt unimportant. Try to open even in chat just to relax you feel like try it guys it works","Sabi niya, nafeel niyang hindi siya isa sa atin, not one of Lyra. She felt unimportant. Try niyo mag open up sa kanya, kahit sa chat lang para lumuwag ng onti pakiramdam niyo try it guys it works","He said he was not one of us, not one of Lyra. She felt unimportant. Try to open up to her, even just in chat to relax you feel like try it guys it works",0
"Sorry sa mga kagrupo ko, kahit na kasalanan nyo naman talaga na pinili nyo ko maging leader, eh alam nyo namang tarantado ako","I'm sorry to my group, even though it's your fault that I chose you to be a leader, you know I am a talented","Sorry sa mga kagrupo ko, kahit na kasalanan nyo naman talaga na pinili nyo ko maging leader, eh alam nyo namang gago ako","I'm sorry to my group, even though it's your fault that I chose you to be a leader, you know I'm crazy",1
;di po yan skripted,; di po yan skripted,Hindi po yan skripted,That's not skripted,0
"IT'S OKAY, NOT TO BE OKAY","IT'S OKAY, NOT TO BE OKAY","IT'S OKAY, NOT TO BE OKAY","IT'S OKAY, NOT TO BE OKAY",0
sa akin ka lang tumagal sa iba ka rin ikakasal,to me you just take on someone else you get married,Sa akin ka lang tumagal sa iba ka rin ikakasal,To me you just take on someone else you get married,0
"""Andaming lumalaganap na sakit ngayon ah Stay safe, healthy and strong, guys! Hangga't maaari, wag magpupuyat at kumain ng maraming (kahit """"diet"""" ka pa) gulay at prutas.","""We have a lot of pain now ah stay safe, healthy and strong, guys! As much as possible, don't watch and eat a lot (even"" ""diet"" ""you) vegetables and fruits.","Andaming lumalaganap na illness ngayon ah Stay safe, healthy and strong, guys! Hangga't maaari,don't stay up late, at kumain ng maraming (kahit """"diet"""" ka pa) gulay at prutas.","We have a lot of illness now ah stay safe, healthy and strong, guys! Whenever possible, don't stay up late, and eat a lot (even """" diet """" you) vegetables and fruits.",0
"""Bulag ka ba""
""Hindi, pero yung feelings ko hindi bulag.""","""Are you blind""
""No, but my feelings aren't blind.""","Bulag ka ba Hindi, pero yung feelings ko hindi bulag.","Are you blind, but my feelings are not blind.",0
"""JAKULIN KITA GAMIT BIBIG","""I will make you mouth with mouth",JAKOLIN KITA GAMIT ANG BIBIG,Jakolin you with the mouth,1
"""kapag may nanliligaw sayo, wag kang magpapaganda para sa kanya, wag kang magmemake-up or lipstick. Ipakita mo yung mga panget na ugali mo, yung tamad ka sa bahay, hindi ka naliligo pag walang pasok, hindi ka nagtotoothbrush kahit lamon ka ng lamon.","""When someone misleads you, don't make it look good for her, don't go up or lipstick. Show your ugly attitudes, you are lazy at home, you are not bathing without school, you do not have a gesture even if you eat it. Lamon.","kapag may suitor ka, wag kang magpapaganda para sa kanya, wag kang magmemake-up or lipstick. Ipakita mo yung mga panget na ugali mo","When you have a suitor, don't make it look good for her, don't mess up or lipstick. Show your ugly attitudes",0
"""Masaya ka naman ba"" Alam kong masaya ka na. Oo na, solve na birthday mo. Happy Birthday nalang ule.","""Are you happy"" I know you're happy. Yes, solve your birthday. Happy birthday nalang ule.","Masaya ka naman ba Alam kong masaya ka na. Oo na, kompleto na ang birthday mo. Happy Birthday ulit.","Are you happy I know you're happy. Yes, your birthday is complete. Happy birthday again.",0
"""O.K., tapos na eleksyon. Tanggap-tanggap na rin. Ganu'n talaga.... Tapos na mga pinaglalaban natin; pare-parehong nagsalita ng 'di maganda sa mga kandidato natin. Kaya 'wag magmalinis, ha""","""O.K., finished elections. Accept it. That's exactly .... We're done fighting; we have spoken to our candidates' bad things. So don't be clean, ha""","O.K., tapos na eleksyon. Tanggap-tanggap na rin. Ganun talaga. Tapos na mga pinaglalaban natin; pare-parehong nagsalita ng 'di maganda sa mga kandidato natin. Kaya 'wag magmalinis, ha","O.K., finished election. Accept well. That's it. We are done fighting; We both spoke badly to our candidates. So don't clean up, ha",0
“hala diba maka lugaw ka”,"""Well, you can porridge""",Hala diba maka lugaw ka,Don't you think you're porridge,1
"“Hindi kayo ang kalaban, kundi kayo ang pinaglalaban”","""You are not the enemy, but you are the fight""","Hindi kayo ang kalaban, kundi kayo ang pinaglalaban","You are not the enemy, but you are the one who fought",0
(NAGPAPALAKAS PHONESHOOT MV) Release nato mamaya…,(Strengthening Phoneshoot MV) Let's Release Later…,Release nato mamaya,Let's release later,0
