Raw,Raw_Translated,Clean,Clean_Translated,Tag,,,,,
Cause all of the small things that you do are what remind me why I fell for you,Cause all of the small things that you do are what remind me why I fell for you,Cause all of the small things that you do are what remind me why I fell for you,Cause all of the small things that you do are what remind me why I fell for you,0,,,,,
1007 Baka nakagat yan ng asong ulol Hindi nabakunahan,1007 It may have been bitten by a crazed dog not vaccinated,1007 Baka nakagat yan ng asong ulol Hindi nabakunahan,1007 It may have been bitten by a crazed dog not vaccinated,0,,,,,
2 basket ball team so far Char,2 basket ball team so far Char,2 basket ball team so far Char,2 basket ball team so far Char,0,,,,,
2 days na nga gasakit akong pusom litse yawa,2 days of being angled my pusom litse devil,2 days na nga gasakit akong pusom litse yawa,2 days of being angled my pusom litse devil,1,,,,,
20 pesos ang bigas 99 pesos na lang ang CDs hahaha,20 pesos the rice is only 99 pesos the cds hahaha,20 pesos ang bigas 99 pesos na lang ang CDs hahaha,20 pesos the rice is only 99 pesos the cds hahaha,0,,,,,
3 years later bitter pa rin ako I will never heal,3 years later bitter still i will never heal,3 years later bitter pa rin ako I will never heal,3 years later bitter still i will never heal,1,,,,,
5 Massage95 seks,5 MASSAGE95 SEX,5 Massage95 seks,5 MASSAGE95 SEX,1,,,,,
676 When po sir Hehehe,676 When po sir Hehehe,676 When po sir Hehehe,676 When po sir Hehehe,0,,,,,
88m lutang,88m flutation,88m lutang,88m flutation,0,,,,,
accurate,accurate,accurate,accurate,0,,,,,
Afternoon delight,Afternoon delight,Afternoon delight,Afternoon delight,0,,,,,
Again a womans body is her own fucking business Youre fucking asshole and disgusting Tangina mo Bolick ULOL GAGO KA,Again a womans body is her own fucking business Youre fucking asshole and disgusting Tangina mo Bolick ULOL GAGO KA,Again a womans body is her own fucking business Youre fucking asshole and disgusting Tangina mo Bolick ULOL GAGO KA,Again a womans body is her own fucking business Youre fucking asshole and disgusting Tangina mo Bolick ULOL GAGO KA,1,,,,,
Agree,Agree,Agree,Agree,0,,,,,
Ahahahahahaha wala ako alm dyan,Ahahahahahaha,Ahahahahahaha wala ako alam dyan,Ahahahahahaha i don't know that,1,,,,,
Ahahahahahaha wala ako alam dyan,Ahahahahahaha i don't know that,Ahahahahahaha wala ako alam dyan,Ahahahahahaha i don't know that,0,,,,,
AHS Prof Yuki ano po ang thirstmay kinalaman ba yung Brain natin sa Thirst Mechanisms do you have any thirsts sa Tamod,Ahs prof yuki what is the thirstmay does our brain have to do with thirst mechanisms do you have any thirsts in semen,AHS Prof Yuki ano po ang thirstmay kinalaman ba yung Brain natin sa Thirst Mechanisms do you have any thirsts sa Tamod,Ahs prof yuki what is the thirstmay does our brain have to do with thirst mechanisms do you have any thirsts in semen,1,,,,,
AHS thirst Mechanism sabi mo tinikman mo tamod ni Marvin pascual diba Nag selos nga si Yuuki kasi Sugar mommy ni marvin si Elisa Cando And nag selos sya kay yammy pinsan nya,Ahs thirst mechanism you say you tasted marvin pascual diba diba na yuuki because marvin's sugar mommy elisa Cando and he was jealous of yammy cousin his cousin,AHS thirst Mechanism sabi mo tinikman mo tamod ni Marvin pascual diba Nag selos nga si Yuuki kasi Sugar mommy ni marvin si Elisa Cando And nag selos sya kay yammy pinsan nya,Ahs thirst mechanism you say you tasted marvin pascual diba diba na yuuki because marvin's sugar mommy elisa Cando and he was jealous of yammy cousin his cousin,1,,,,,
Akala ko sa baril lang ako ma dedeads Kay Mr Jake Sim lang pala,I thought I was just a gun that I could have with Mr Jake sim just,"Akala ko sa baril lang ako ma de-dead, Kay Mr Jake Sim lang pala","I thought I was just going to die, just Mr Jake Sim",1,,,,,
Akala yata ni mama 10 years old lang ako Ma bakit naman ganito binili mong dress sakin,Mom thought I was only 10 years old and why did you buy this dress for me,Akala yata ni mama 10 years old lang ako Ma bakit naman ganito binili mong dress sakin,Mom thought I was only 10 years old and why did you buy this dress for me,0,,,,,
Ako na naman ang masama,I am the wicked one again,Ako na naman ang masama,I am the wicked one again,1,,,,,
Ako nanghihina kapag nakakakita ako ng dugo,I faint when I see blood,Ako nanghihina kapag nakakakita ako ng dugo,I faint when I see blood,0,,,,,
