id,created_at,text - utf-8,simplified
1526823458750930944,2022-05-18 07:14:14+00:00,b'GUSTO NA KITA SUMBUTAN PERO CHILL LANG.HAHAHA SAKA NA PAGKAHARAP NA KITA.',GUSTO NA KITA SUMBUTAN PERO CHILL LANG HAHAHA SAKA NA PAGKAHARAP NA KITA
1526823455596785664,2022-05-18 07:14:13+00:00,b'hoy kabaho sa posting sa tienda heneral na page. hu u',hoy kabaho sa posting sa tienda heneral na page hu u
1526823447510233089,2022-05-18 07:14:11+00:00,b'@PJACaytonPhD Right? Sparked a kitchen revolution! Hahaha',Right Sparked a kitchen revolution Hahaha
1526823443978928128,2022-05-18 07:14:10+00:00,b'@mendozabryn Bakugo?',Bakugo
1526823440488878081,2022-05-18 07:14:09+00:00,b'Gikapoy na ko aning graduate school hahahahuhuhu',Gikapoy na ko aning graduate school hahahahuhuhu
1526823425607512064,2022-05-18 07:14:06+00:00,b'DSMOM CUTIEEEEE',DSMOM CUTIEEEEE
1526823389708443648,2022-05-18 07:13:57+00:00,b'@melbournepogi22 @eiiiiron Kelan ka luluwas Mel?? Haha oh kaya pa housewarming tayo dyan sa bahay mo pag nauwi kami lol hahaha',Kelan ka luluwas Mel Haha oh kaya pa housewarming tayo dyan sa bahay mo pag nauwi kami lol hahaha
1526823374080851968,2022-05-18 07:13:54+00:00,b'@ManilaEDGER Hindi ko alam if tatanggapin pa nila ID ko heheh. Wala pa ko alum ID \xf0\x9f\x98\x85',Hindi ko alam if tatanggapin pa nila ID ko heheh Wala pa ko alum ID
1526823372524376064,2022-05-18 07:13:53+00:00,b'@ronniee_first HAHAHHAHAHAHAHAHAHHAHAAHHAHA hoiiii',first HAHAHHAHAHAHAHAHAHHAHAAHHAHA hoiiii
1526823367516360704,2022-05-18 07:13:52+00:00,b'It\xe2\x80\x99s a bad idea to open twitter while getting a haircut. \xf0\x9f\x91\x80\xf0\x9f\x92\xa6',It s a bad idea to open twitter while getting a haircut
1526823365297983488,2022-05-18 07:13:51+00:00,b'tanginamu gagu hahaha',tanginamu gagu hahaha
1526823362407723008,2022-05-18 07:13:51+00:00,b'How to reject feelings ng di nakakasakit?',How to reject feelings ng di nakakasakit
