id,created_at,text - utf-8,simplified
1.52683E+18,2022-05-18 07:32:36+00:00,b'Kakayin.',Kakayin
1.52683E+18,2022-05-18 07:32:32+00:00,"b'Gikasal najud akong ex. \nHays, gi invite ko pero wa ko ni adto atay nag lain man gud ako lawas'",Gikasal najud akong ex Hays gi invite ko pero wa ko ni adto atay nag lain man gud ako lawas
1.52683E+18,2022-05-18 07:32:32+00:00,"b'@kazeia05 Luhh iya, ngsheshare post ka pla ng mga ganito\n \xf0\x9f\xa4\xa6'",Luhh iya ngsheshare post ka pla ng mga ganito
1.52683E+18,2022-05-18 07:32:32+00:00,b'hahahahahhaha happiest day of may layp. Nasobrahan ka ata kakaiyot sakanya. Biglang magmemention sabay back out. Hahahhaha tangina. Walang kwenta. Akala mo malakas ang loob eh.   Hangin lang yan sa puke mo mars',hahahahahhaha happiest day of may layp Nasobrahan ka ata kakaiyot sakanya Biglang magmemention sabay back out Hahahhaha tangina Walang kwenta Akala mo malakas ang loob eh Hangin lang yan sa puke mo mars
1.52683E+18,2022-05-18 07:32:30+00:00,b'Family trips https://t.co/PQGxtCjOyO',Family trips
1.52683E+18,2022-05-18 07:32:26+00:00,"b'@claudiopoy Gusto ko yung chocolate bars tapos papayat ka... yung silhouette 40 din, lels. May pattern ano? Lels.'",Gusto ko yung chocolate bars tapos papayat ka yung silhouette 40 din lels May pattern ano Lels
1.52683E+18,2022-05-18 07:32:23+00:00,"b'\xf0\x9f\x96\xa4\xf0\x9f\x96\xa4\xf0\x9f\x96\xa4 @ Burnham Park, Baguio City https://t.co/NAJ3EeKqx4'",Burnham Park Baguio City
1.52683E+18,2022-05-18 07:32:23+00:00,"b'My apo, Lorienzerbel just graduated from kindergarten with honours. Congratulations @ Fr. Angelico Lipani School - Main https://t.co/5giexyFozO'",My apo Lorienzerbel just graduated from kindergarten with honours Congratulations Fr Angelico Lipani School Main
1.52683E+18,2022-05-18 07:32:19+00:00,b'WAIT LUNGSSSSSSS!!! https://t.co/RgjVokCjFV',WAIT LUNGSSSSSSS
1.52683E+18,2022-05-18 07:32:19+00:00,b'Always! https://t.co/axNrVbXYp1',Always
1.52683E+18,2022-05-18 07:32:14+00:00,b'@notscorsaguin @scorsaguinpriv Hoy ang cute mo',Hoy ang cute mo
1.52683E+18,2022-05-18 07:32:14+00:00,b'Nakakatipid ako sa pagpunta ng massage spa dahil may taga massage ako dito sa bahay \xf0\x9f\x98\x85 Courtesy of Adonese \xf0\x9f\x92\x95',Nakakatipid ako sa pagpunta ng massage spa dahil may taga massage ako dito sa bahay Courtesy of Adonese
1.52683E+18,2022-05-18 07:32:13+00:00,b'@jjbslo18 HAHAHAHA\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',HAHAHAHA
1.52683E+18,2022-05-18 07:32:11+00:00,b'#sexy https://t.co/Hs18E39IvW',sexy
1.52683E+18,2022-05-18 07:32:10+00:00,b'coffee date pls :&gt;',coffee date pls gt
1.52683E+18,2022-05-18 07:32:10+00:00,b'dm moko untog ko ulo m',dm moko untog ko ulo m
1.52683E+18,2022-05-18 07:32:08+00:00,b'Pretending we know things',Pretending we know things
1.52683E+18,2022-05-18 07:32:07+00:00,b'Wtf?? https://t.co/Fs4Xtuqc3j',Wtf
1.52683E+18,2022-05-18 07:32:06+00:00,"b'Salamat po, AMA!'",Salamat po AMA
1.52683E+18,2022-05-18 07:32:01+00:00,b'@paghigugma HAHAHA naa didto ang exciting part?',HAHAHA naa didto ang exciting part
1.52683E+18,2022-05-18 07:31:58+00:00,b'Ayaw nyo sa twink? \xf0\x9f\x91\x89\xf0\x9f\x8f\xbb\xf0\x9f\x91\x88\xf0\x9f\x8f\xbb https://t.co/aRJCHLosZL',Ayaw nyo sa twink
1.52683E+18,2022-05-18 07:31:49+00:00,"b'You know me the best, you know my worst, you see me hurt but u never judge \xf0\x9f\xa5\xba'",You know me the best you know my worst you see me hurt but u never judge
